Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Years_Customer,Days_Customer,TotalMntSpent,TotalNumPurchases,Total_Acc_Cmp,Year_Joined,Month_Joined,Day_Joined,Age_Group,Children,Partner,Education_Level
PhD,Divorced,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,0,41,0,41,49,6,1,2014,May,Monday,Adult,2,No,Postgraduate
PhD,Married,65526.0,0,1,22,397,19,69,12,0,9,1,4,4,8,2,0,0,0,0,0,0,0,50,0,79,506,17,0,2014,April,Friday,Middel Aged,1,Yes,Postgraduate
Graduation,Married,16860.0,1,1,19,10,4,4,3,3,14,3,1,1,3,7,0,0,0,0,0,0,0,53,2,655,38,8,0,2012,September,Wednesday,Middel Aged,2,Yes,Graduate
Graduation,Single,83528.0,0,0,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,0,1,22,0,59,1650,23,3,2014,May,Thursday,Young adult,0,No,Graduate
2n Cycle,Divorced,64176.0,0,1,52,1215,33,249,64,116,149,8,8,9,8,6,0,0,0,0,0,0,0,49,2,695,1826,33,0,2012,August,Friday,Middel Aged,1,No,Undergraduate
Graduation,Divorced,22304.0,0,0,91,3,2,7,0,4,2,1,1,0,2,8,0,0,0,0,0,0,0,58,2,694,18,4,0,2012,August,Saturday,Middel Aged,0,No,Graduate
Graduation,Married,67023.0,0,0,93,444,44,382,11,8,17,1,3,7,13,2,0,0,0,0,0,1,0,36,0,117,906,24,0,2014,March,Tuesday,Adult,0,Yes,Graduate
PhD,Together,32892.0,1,0,78,26,0,15,2,1,2,2,3,0,3,8,0,0,0,0,0,0,0,43,0,35,46,8,0,2014,May,Sunday,Adult,1,Yes,Postgraduate
Graduation,Together,70713.0,0,1,23,736,114,279,82,76,190,6,5,6,8,3,0,0,0,0,0,0,0,48,2,573,1477,25,0,2012,December,Monday,Middel Aged,1,Yes,Graduate
Graduation,Together,59925.0,0,1,83,473,21,176,19,21,56,3,9,2,9,6,0,0,0,0,0,0,0,59,2,576,766,23,0,2012,November,Friday,Middel Aged,1,Yes,Graduate
Graduation,Married,39722.0,0,1,92,32,0,5,2,0,8,2,2,0,3,5,0,0,0,0,0,0,0,61,0,125,47,7,0,2014,February,Monday,Middel Aged,1,Yes,Graduate
Graduation,Together,46610.0,0,0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,56,1,346,467,14,0,2013,July,Thursday,Middel Aged,0,Yes,Graduate
Graduation,Together,88347.0,0,0,32,1050,178,555,77,138,118,1,4,7,9,1,0,0,0,1,0,0,0,53,1,361,2116,21,1,2013,July,Wednesday,Middel Aged,0,Yes,Graduate
PhD,Married,87171.0,0,0,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,0,33,1,424,1298,25,2,2013,May,Wednesday,Adult,0,Yes,Postgraduate
2n Cycle,Together,26907.0,1,1,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,0,38,1,313,22,6,0,2013,August,Tuesday,Adult,2,Yes,Undergraduate
Master,Single,50014.0,1,0,9,234,14,77,19,10,42,2,4,1,8,5,0,0,0,0,0,0,0,46,0,158,396,15,0,2014,January,Wednesday,Middel Aged,1,No,Postgraduate
PhD,Married,41014.0,1,0,65,7,2,6,2,0,3,1,1,0,2,7,0,0,0,0,0,0,0,36,1,433,20,4,0,2013,April,Monday,Adult,1,Yes,Postgraduate
Graduation,Single,66294.0,0,0,68,251,108,334,65,92,117,1,4,3,5,2,0,0,0,0,0,0,0,49,0,104,967,13,0,2014,March,Monday,Middel Aged,0,No,Graduate
Graduation,Married,36715.0,1,0,16,172,10,125,21,13,16,6,7,2,4,9,0,0,0,0,0,0,1,43,2,589,357,19,1,2012,November,Saturday,Adult,1,Yes,Graduate
Graduation,Married,79456.0,0,0,12,565,42,548,64,83,99,1,5,6,4,3,0,0,0,0,0,0,1,58,2,676,1401,16,1,2012,August,Wednesday,Middel Aged,0,Yes,Graduate
Graduation,Together,40479.0,1,0,95,5,0,8,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,32,1,316,15,4,0,2013,August,Saturday,Adult,1,Yes,Graduate
Master,Single,75345.0,0,0,16,918,57,842,99,38,133,1,5,8,6,3,0,0,0,1,0,0,1,44,1,512,2087,20,2,2013,February,Saturday,Adult,0,No,Postgraduate
Graduation,Married,54233.0,0,1,46,652,8,158,21,0,142,4,11,6,5,8,0,0,0,0,0,0,0,37,1,510,981,26,0,2013,February,Monday,Adult,1,Yes,Graduate
Graduation,Single,24163.0,1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,44,1,260,17,6,0,2013,October,Saturday,Adult,2,No,Graduate
PhD,Together,84460.0,0,0,80,152,27,103,106,54,81,0,9,9,4,5,0,1,1,1,1,0,1,56,1,541,523,22,5,2013,January,Friday,Middel Aged,0,Yes,Postgraduate
Graduation,Together,43776.0,1,0,77,8,0,9,2,1,3,1,1,0,2,6,0,0,0,0,0,0,0,31,0,57,23,4,0,2014,May,Saturday,Adult,1,Yes,Graduate
PhD,Single,71691.0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,0,1,56,0,104,1192,17,1,2014,March,Monday,Middel Aged,0,No,Postgraduate
PhD,Married,85844.0,0,0,62,938,19,843,25,95,38,1,6,6,7,2,0,0,1,0,0,0,0,41,0,31,1958,20,1,2014,May,Thursday,Adult,0,Yes,Postgraduate
PhD,Single,39190.0,1,0,91,68,8,18,19,8,12,2,2,1,4,5,0,0,0,0,0,0,0,40,0,64,133,9,0,2014,April,Saturday,Adult,1,No,Postgraduate
Graduation,Together,71367.0,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,55,1,310,777,17,0,2013,August,Friday,Middel Aged,0,Yes,Graduate
PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,42,1,372,73,9,0,2013,June,Saturday,Adult,2,No,Postgraduate
PhD,Married,57236.0,1,1,22,105,0,9,2,1,4,3,2,1,4,3,0,0,0,0,0,0,0,49,0,109,121,10,0,2014,March,Wednesday,Middel Aged,2,Yes,Postgraduate
Graduation,Single,61825.0,0,1,56,162,50,100,55,30,27,1,4,2,8,4,0,0,0,0,0,0,0,35,1,326,424,15,0,2013,August,Wednesday,Adult,1,No,Graduate
Graduation,Divorced,79803.0,0,1,54,574,8,216,21,16,33,1,4,3,5,1,0,0,0,0,0,0,0,56,0,27,868,13,0,2014,June,Monday,Middel Aged,1,No,Graduate
2n Cycle,Single,80910.0,0,0,71,160,80,369,67,39,41,1,3,3,8,1,0,0,0,0,0,0,0,28,2,606,756,15,0,2012,October,Wednesday,Adult,0,No,Undergraduate
Master,Together,27590.0,1,0,38,6,0,5,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,32,1,432,12,4,0,2013,April,Tuesday,Adult,1,Yes,Postgraduate
Graduation,Married,56775.0,0,1,62,614,35,160,58,35,35,2,5,8,10,5,0,0,0,0,0,0,0,35,1,543,937,25,0,2013,January,Wednesday,Adult,1,Yes,Graduate
Graduation,Divorced,83829.0,0,0,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,1,39,1,264,1862,17,4,2013,October,Tuesday,Adult,0,No,Graduate
2n Cycle,Married,54210.0,0,1,18,70,54,109,80,9,45,2,4,1,7,5,0,0,0,0,0,0,0,35,1,405,367,14,0,2013,May,Monday,Adult,1,Yes,Undergraduate
Graduation,Married,38508.0,1,0,95,120,19,206,25,19,54,6,7,2,5,8,0,0,0,0,0,0,0,28,1,331,443,20,0,2013,August,Friday,Adult,1,Yes,Graduate
Graduation,Together,53187.0,1,0,66,211,2,30,7,7,10,2,4,1,6,5,0,0,0,0,0,0,0,44,1,246,267,13,0,2013,October,Saturday,Adult,1,Yes,Graduate
Graduation,Married,30023.0,1,0,28,11,0,16,7,6,21,1,2,0,3,8,0,0,0,0,0,0,0,42,0,97,61,6,0,2014,March,Monday,Adult,1,Yes,Graduate
PhD,Single,76045.0,0,0,78,760,53,400,17,93,0,1,4,5,11,2,0,0,0,1,0,0,0,54,1,226,1323,21,1,2013,November,Friday,Middel Aged,0,No,Postgraduate
PhD,Married,50870.0,0,1,13,53,0,8,0,0,2,1,2,0,3,5,0,0,0,0,0,0,0,62,0,10,63,6,0,2014,June,Thursday,Middel Aged,1,Yes,Postgraduate
2n Cycle,Married,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,44,1,330,64,8,0,2013,August,Saturday,Adult,0,Yes,Undergraduate
2n Cycle,Married,65463.0,1,0,17,391,32,70,21,32,16,2,6,2,9,5,0,1,0,0,0,0,0,40,0,150,562,19,1,2014,January,Thursday,Adult,1,Yes,Undergraduate
Graduation,Married,66480.0,1,1,71,199,9,57,20,21,6,7,4,1,7,4,0,0,0,0,0,0,0,49,0,29,312,19,0,2014,May,Saturday,Middel Aged,2,Yes,Graduate
Graduation,Divorced,76773.0,0,0,79,516,56,449,86,33,16,1,2,2,11,1,0,0,0,0,0,0,0,60,1,489,1156,16,0,2013,February,Monday,Middel Aged,0,No,Graduate
2n Cycle,Single,81698.0,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,0,1,31,1,485,1104,16,2,2013,March,Friday,Adult,0,No,Undergraduate
PhD,Single,54466.0,1,1,78,12,0,4,0,0,0,1,1,0,2,5,0,0,0,0,0,0,0,41,0,140,16,4,0,2014,February,Sunday,Adult,2,No,Postgraduate
Master,Single,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,54,0,132,2008,19,1,2014,February,Monday,Middel Aged,0,No,Postgraduate
PhD,Single,16269.0,1,0,75,19,3,18,3,1,0,3,3,0,3,8,0,0,0,0,0,0,0,30,1,303,44,9,0,2013,August,Friday,Adult,1,No,Postgraduate
Graduation,Together,71819.0,0,1,70,1224,28,140,0,14,168,3,3,3,5,6,0,1,1,0,0,0,0,43,1,305,1574,14,2,2013,August,Wednesday,Adult,1,Yes,Graduate
PhD,Married,33569.0,1,0,10,16,2,18,3,0,24,1,1,1,2,8,1,0,0,0,0,0,1,31,1,256,63,5,2,2013,October,Wednesday,Adult,1,Yes,Postgraduate
Master,Married,36262.0,0,0,24,88,39,54,64,28,153,1,3,5,3,6,1,0,0,0,0,0,1,31,1,282,426,12,2,2013,September,Friday,Adult,0,Yes,Postgraduate
Basic,Together,22634.0,0,0,47,2,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,0,48,1,529,96,6,0,2013,January,Wednesday,Middel Aged,0,Yes,Undergraduate
2n Cycle,Married,47025.0,0,1,98,508,11,59,23,5,29,5,11,1,6,9,0,0,0,0,0,0,0,36,1,290,635,23,0,2013,September,Thursday,Adult,1,Yes,Undergraduate
Graduation,Single,70566.0,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,46,1,266,757,22,0,2013,October,Sunday,Middel Aged,1,No,Graduate
PhD,Married,31605.0,1,0,15,74,0,42,2,1,6,2,2,1,4,7,0,0,0,0,0,0,0,35,2,584,125,9,0,2012,November,Thursday,Adult,1,Yes,Postgraduate
Master,Divorced,52034.0,1,1,67,146,0,93,7,13,73,5,4,2,5,7,0,0,0,0,0,0,0,41,1,408,332,16,0,2013,May,Friday,Adult,2,No,Postgraduate
Graduation,Single,48526.0,1,0,32,23,17,23,43,20,9,1,2,1,4,3,0,0,0,0,0,0,0,35,1,187,135,8,0,2013,December,Tuesday,Adult,1,No,Graduate
Graduation,Married,46734.0,0,1,40,110,5,137,26,23,29,2,6,1,5,7,0,0,0,0,0,0,0,60,2,588,330,14,0,2012,November,Sunday,Middel Aged,1,Yes,Graduate
Graduation,Divorced,39552.0,1,1,54,165,3,147,4,24,41,7,6,2,5,8,0,0,0,0,0,0,1,52,2,558,384,20,1,2012,December,Tuesday,Middel Aged,2,No,Graduate
Graduation,Single,86358.0,1,1,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,0,48,2,690,1722,18,0,2012,August,Wednesday,Middel Aged,2,No,Graduate
Graduation,Together,46931.0,2,1,94,41,0,17,3,1,16,2,1,1,3,3,0,0,0,0,0,0,0,37,0,66,78,7,0,2014,April,Thursday,Adult,3,Yes,Graduate
Basic,Single,16581.0,0,0,51,1,3,4,2,3,11,1,0,0,3,4,0,0,0,0,0,0,0,29,1,533,24,4,0,2013,January,Saturday,Adult,0,No,Undergraduate
2n Cycle,Divorced,63998.0,0,0,42,176,29,818,0,33,112,1,7,6,11,4,0,0,0,0,0,0,1,62,1,191,1168,25,1,2013,December,Friday,Middel Aged,0,No,Undergraduate
Master,Married,67381.0,0,1,67,815,8,53,11,0,70,4,2,2,9,7,0,1,0,0,0,0,0,63,1,530,957,17,1,2013,January,Tuesday,Middel Aged,1,Yes,Postgraduate
Graduation,Single,25930.0,1,1,87,6,1,2,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,47,1,262,15,4,0,2013,October,Thursday,Middel Aged,2,No,Graduate
Graduation,Married,42693.0,1,0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,0,36,0,22,57,5,0,2014,June,Saturday,Adult,1,Yes,Graduate
Graduation,Together,85606.0,0,1,89,717,42,864,219,30,84,2,6,7,9,3,0,0,0,1,0,0,0,38,2,594,1956,24,1,2012,November,Monday,Adult,1,Yes,Graduate
Graduation,Single,72903.0,0,0,74,1067,138,750,0,19,39,1,7,5,8,4,0,1,1,1,0,0,1,29,1,243,2013,21,4,2013,October,Tuesday,Adult,0,No,Graduate
2n Cycle,Together,49669.0,1,0,97,166,5,107,11,8,29,2,5,1,6,6,0,0,0,0,0,0,0,40,0,36,326,14,0,2014,May,Saturday,Adult,1,Yes,Undergraduate
PhD,Married,36778.0,1,1,63,29,4,34,2,4,4,3,3,0,3,9,0,0,0,0,0,0,0,46,2,693,77,9,0,2012,August,Sunday,Middel Aged,2,Yes,Postgraduate
PhD,Divorced,85696.0,0,0,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1,52,1,422,1313,20,1,2013,May,Friday,Middel Aged,0,No,Postgraduate
Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,0,38,30,8,0,2014,May,Thursday,Adult,0,No,Postgraduate
Graduation,Married,49678.0,0,1,81,229,5,56,3,2,20,2,6,2,4,7,0,0,0,0,0,0,0,53,1,512,315,14,0,2013,February,Saturday,Middel Aged,1,Yes,Graduate
Master,Together,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,61,1,374,660,22,0,2013,June,Thursday,Middel Aged,1,Yes,Postgraduate
Graduation,Married,37155.0,1,0,51,23,0,26,7,15,3,1,2,0,4,5,0,0,0,0,0,0,0,25,1,514,74,7,0,2013,January,Thursday,Adult,1,Yes,Graduate
2n Cycle,Divorced,21282.0,1,0,76,1,5,8,4,8,20,2,2,1,2,6,0,0,0,0,0,0,0,36,0,49,46,7,0,2014,May,Sunday,Adult,1,No,Undergraduate
PhD,Single,33419.0,0,1,76,56,0,12,0,0,18,2,2,0,4,7,0,0,0,0,0,0,0,52,1,316,86,8,0,2013,August,Saturday,Middel Aged,1,No,Postgraduate
Graduation,Widow,63285.0,0,0,84,508,124,249,50,38,134,1,6,5,13,3,0,0,0,0,0,0,0,69,1,236,1103,25,0,2013,November,Tuesday,Senior Citizen,0,No,Graduate
Master,Together,21255.0,1,0,56,29,0,25,2,2,3,4,2,1,4,4,0,0,0,0,0,0,0,40,0,159,61,11,0,2014,January,Tuesday,Adult,1,Yes,Postgraduate
Graduation,Together,42162.0,1,0,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,0,1,33,1,222,145,9,2,2013,November,Tuesday,Adult,1,Yes,Graduate
Graduation,Together,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,58,2,653,684,31,0,2012,September,Friday,Middel Aged,2,Yes,Graduate
PhD,Married,57744.0,0,1,91,350,3,39,0,0,19,2,9,1,4,8,0,0,0,0,0,0,0,60,1,229,411,16,0,2013,November,Tuesday,Middel Aged,1,Yes,Postgraduate
Graduation,Single,26576.0,1,0,40,10,0,8,0,0,9,1,1,0,2,9,1,0,0,0,0,0,1,28,2,624,27,4,2,2012,October,Saturday,Adult,1,No,Graduate
PhD,Widow,57513.0,0,0,59,735,40,183,52,20,30,2,9,3,13,6,0,0,0,0,0,0,0,71,1,358,1060,27,0,2013,July,Saturday,Senior Citizen,0,No,Postgraduate
Graduation,Together,68142.0,0,1,96,897,126,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,0,50,2,669,1459,24,0,2012,August,Wednesday,Middel Aged,1,Yes,Graduate
Graduation,Married,7500.0,0,1,61,5,2,3,3,0,5,1,1,0,2,8,0,0,0,0,0,0,0,35,2,669,18,4,0,2012,August,Wednesday,Adult,1,Yes,Graduate
Graduation,Together,83145.0,0,0,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,0,1,40,2,645,1833,26,2,2012,September,Saturday,Adult,0,Yes,Graduate
Master,Married,54197.0,0,1,16,162,6,37,6,13,13,2,1,3,6,1,0,0,0,0,0,0,0,54,0,87,237,12,0,2014,April,Thursday,Middel Aged,1,Yes,Postgraduate
PhD,Single,23091.0,1,1,98,35,0,11,0,0,2,4,2,1,3,7,0,0,0,0,0,0,0,51,0,32,48,10,0,2014,May,Wednesday,Middel Aged,2,No,Postgraduate
Graduation,Married,46049.0,1,1,11,342,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,0,1,38,1,343,515,26,1,2013,July,Sunday,Adult,2,Yes,Graduate
Graduation,Together,56715.0,0,0,52,258,105,239,237,172,9,1,7,3,4,4,0,0,0,0,0,0,0,40,2,571,1020,15,0,2012,December,Wednesday,Adult,0,Yes,Graduate
Graduation,Married,79410.0,0,0,19,658,80,483,123,13,13,1,3,2,5,1,0,0,0,0,0,0,0,53,0,31,1370,11,0,2014,May,Thursday,Middel Aged,0,Yes,Graduate
Graduation,Married,57304.0,0,1,61,356,80,329,138,17,106,2,7,6,10,5,0,0,0,0,0,0,0,63,1,475,1026,25,0,2013,March,Monday,Middel Aged,1,Yes,Graduate
Graduation,Married,44375.0,0,1,73,213,5,28,7,7,41,1,4,1,6,5,0,0,0,0,0,0,0,49,0,98,301,12,0,2014,March,Sunday,Middel Aged,1,Yes,Graduate
Graduation,Together,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,58,2,653,684,31,0,2012,September,Friday,Middel Aged,2,Yes,Graduate
Graduation,Married,59594.0,0,1,74,457,4,29,0,0,9,1,8,1,7,7,0,1,0,0,0,0,0,49,2,617,499,17,1,2012,October,Saturday,Middel Aged,1,Yes,Graduate
Graduation,Together,80685.0,0,0,55,241,45,604,34,26,54,1,6,4,10,2,0,0,0,0,0,0,0,20,2,676,1004,21,0,2012,August,Wednesday,Young adult,0,Yes,Graduate
PhD,Married,40344.0,0,1,48,210,0,6,0,0,2,2,4,1,5,7,0,0,0,0,0,0,0,40,1,259,218,12,0,2013,October,Sunday,Adult,1,Yes,Postgraduate
Graduation,Married,62710.0,0,1,53,441,35,83,7,29,11,4,4,2,12,4,0,0,0,0,0,0,0,42,1,402,606,22,0,2013,May,Thursday,Adult,1,Yes,Graduate
2n Cycle,Married,48985.0,0,1,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,0,0,46,1,359,75,6,0,2013,July,Friday,Middel Aged,1,Yes,Undergraduate
Graduation,Together,35322.0,1,2,34,28,9,37,12,7,13,3,2,0,4,8,0,0,0,0,0,0,0,46,2,676,106,9,0,2012,August,Wednesday,Middel Aged,3,Yes,Graduate
Graduation,Married,77142.0,0,0,54,476,75,162,29,151,97,1,4,4,8,2,0,0,0,0,0,0,0,66,1,396,990,17,0,2013,May,Wednesday,Senior Citizen,0,Yes,Graduate
Graduation,Single,81657.0,0,0,69,364,40,425,158,60,50,1,3,4,8,1,0,0,0,0,0,0,0,45,0,158,1097,16,0,2014,January,Wednesday,Middel Aged,0,No,Graduate
Basic,Married,14421.0,0,0,81,0,0,2,3,3,8,1,1,0,2,5,1,0,0,0,0,0,0,18,0,132,16,4,1,2014,February,Monday,Young adult,0,Yes,Undergraduate
2n Cycle,Married,20130.0,0,0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,40,0,104,34,5,0,2014,March,Monday,Adult,0,Yes,Undergraduate
PhD,Married,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,24,2,672,1711,16,0,2012,August,Sunday,Young adult,0,Yes,Postgraduate
Master,Married,66726.0,1,1,61,349,7,35,0,0,47,3,8,2,4,7,0,1,0,0,0,0,0,57,0,168,438,17,1,2014,January,Sunday,Middel Aged,2,Yes,Postgraduate
Basic,Together,23724.0,1,0,65,5,23,15,0,18,14,2,2,0,3,8,0,0,0,0,0,0,0,35,1,537,75,7,0,2013,January,Tuesday,Adult,1,Yes,Undergraduate
Master,Married,47353.0,0,1,93,184,2,19,8,8,4,3,2,2,6,5,0,0,0,0,0,0,0,54,1,228,225,13,0,2013,November,Wednesday,Middel Aged,1,Yes,Postgraduate
Master,Married,33444.0,1,1,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,62,2,603,18,4,0,2012,November,Saturday,Middel Aged,2,Yes,Postgraduate
Graduation,Married,54386.0,0,1,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,0,33,1,408,470,17,0,2013,May,Friday,Adult,1,Yes,Graduate
Graduation,Divorced,28510.0,1,1,72,44,5,19,0,4,19,3,2,0,4,5,0,0,0,0,0,0,0,33,1,442,91,9,0,2013,April,Saturday,Adult,2,No,Graduate
Master,Single,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,23,0,136,2525,18,1,2014,February,Thursday,Young adult,0,No,Postgraduate
Graduation,Together,48070.0,0,1,33,373,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,1,0,64,1,532,504,19,0,2013,January,Sunday,Middel Aged,1,Yes,Graduate
Graduation,Married,43140.0,0,1,68,134,8,76,6,0,11,1,4,1,5,6,0,0,0,0,0,0,0,57,1,540,235,11,0,2013,January,Saturday,Middel Aged,1,Yes,Graduate
PhD,Divorced,54959.0,0,1,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,0,0,0,0,1,53,1,526,1232,21,2,2013,January,Saturday,Middel Aged,1,No,Postgraduate
Basic,Single,15056.0,1,1,76,6,12,3,21,6,40,5,2,2,3,5,0,0,0,0,0,0,0,56,1,422,88,12,0,2013,May,Friday,Middel Aged,2,No,Undergraduate
Graduation,Single,26954.0,1,0,17,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,43,0,52,17,4,0,2014,May,Thursday,Adult,1,No,Graduate
Graduation,Single,22327.0,1,0,94,5,4,8,2,0,5,1,1,0,3,5,0,0,0,0,0,0,0,29,1,331,24,5,0,2013,August,Friday,Adult,1,No,Graduate
Graduation,Married,44393.0,1,1,86,24,2,20,2,2,10,2,1,0,4,4,0,0,0,0,0,0,0,49,1,311,60,7,0,2013,August,Thursday,Middel Aged,2,Yes,Graduate
PhD,Single,62000.0,0,1,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,0,62,1,308,1020,26,1,2013,August,Sunday,Middel Aged,1,No,Postgraduate
PhD,Together,31497.0,0,1,22,108,1,28,13,1,4,2,3,1,4,8,0,0,0,0,0,0,0,52,2,570,155,10,0,2012,December,Thursday,Middel Aged,1,Yes,Postgraduate
2n Cycle,Married,45894.0,0,2,15,27,2,7,0,2,13,1,1,0,3,5,0,0,0,0,0,0,0,40,0,122,51,5,0,2014,February,Thursday,Adult,2,Yes,Undergraduate
Master,Divorced,78579.0,0,0,35,816,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,0,1,44,2,554,1812,16,1,2012,December,Saturday,Adult,0,No,Postgraduate
Master,Widow,67369.0,0,1,81,1298,0,70,37,14,42,4,7,4,10,4,0,1,1,0,0,0,1,45,2,589,1461,25,3,2012,November,Saturday,Middel Aged,1,No,Postgraduate
Graduation,Divorced,58401.0,0,1,55,10,0,11,17,29,29,1,1,2,2,4,0,0,0,0,0,0,0,54,0,70,96,6,0,2014,April,Sunday,Middel Aged,1,No,Graduate
Graduation,Single,62307.0,0,1,94,87,13,34,10,6,10,1,4,0,4,5,0,0,0,0,0,0,0,62,0,132,160,9,0,2014,February,Monday,Middel Aged,1,No,Graduate
Master,Married,43641.0,1,1,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,0,45,1,433,139,10,0,2013,April,Monday,Middel Aged,2,Yes,Postgraduate
Master,Divorced,63841.0,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,46,1,434,908,22,0,2013,April,Sunday,Middel Aged,1,No,Postgraduate
2n Cycle,Married,46891.0,0,1,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,49,1,301,183,8,0,2013,September,Sunday,Middel Aged,1,Yes,Undergraduate
Master,Married,70091.0,1,0,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,0,45,1,455,1161,19,1,2013,March,Sunday,Middel Aged,1,Yes,Postgraduate
PhD,Married,78075.0,0,0,72,572,8,259,34,35,80,1,3,5,5,1,0,0,0,0,0,0,0,42,0,85,988,14,0,2014,April,Saturday,Adult,0,Yes,Postgraduate
2n Cycle,Widow,59184.0,0,1,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,53,2,658,1072,27,0,2012,September,Sunday,Middel Aged,1,No,Undergraduate
Graduation,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,37,1,291,174,12,0,2013,September,Wednesday,Adult,2,Yes,Graduate
Graduation,Married,58113.0,0,1,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,0,55,1,520,758,22,0,2013,January,Friday,Middel Aged,1,Yes,Graduate
Master,Married,51412.0,0,1,42,140,3,29,4,5,14,2,3,2,4,4,0,0,0,0,0,0,0,56,1,180,195,11,0,2013,December,Tuesday,Middel Aged,1,Yes,Postgraduate
Graduation,Divorced,15287.0,1,0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,35,2,627,31,6,2,2012,October,Wednesday,Adult,1,No,Graduate
Master,Together,66636.0,0,0,64,291,10,689,84,10,0,1,3,4,9,1,0,0,0,0,0,0,0,57,1,316,1084,17,0,2013,August,Saturday,Middel Aged,0,Yes,Postgraduate
Master,Married,50965.0,0,1,87,544,13,85,8,6,29,3,10,4,5,8,1,0,0,0,0,0,0,58,1,494,685,22,1,2013,February,Wednesday,Middel Aged,1,Yes,Postgraduate
PhD,Married,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,1,219,1672,26,1,2013,November,Friday,Middel Aged,0,Yes,Postgraduate
Graduation,Married,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,24,1,243,43,6,0,2013,October,Tuesday,Young adult,0,Yes,Graduate
